date,NH4,st,dep
2004-02,20.572,BS6,b
2004-05,4,BS6,b
2004-08,70,BS6,b
2004-11,32.182,BS6,b
2005-02,19.646,BS6,b
2005-05,15.226,BS6,b
2005-08,17,BS6,b
2005-11,16.849,BS6,b
2006-02,21.586,BS6,b
2006-05,10.629,BS6,b
2006-08,39.792,BS6,b
2006-11,31.054,BS6,b
2007-02,18.23,BS6,b
2007-05,32.508,BS6,b
2007-08,10.583,BS6,b
2007-11,10,BS6,b
2008-02,0,BS6,b
2008-05,25,BS6,b
2008-08,13,BS6,b
2008-11,5,BS6,b
2009-02,13.158,BS6,b
2009-05,10.386,BS6,b
2009-08,2.204,BS6,b
2009-11,8.793,BS6,b
2010-02,4.716,BS6,b
2010-05,12.121,BS6,b
2010-08,71.493,BS6,b
2010-11,7.297,BS6,b
2011-02,27,BS6,b
2011-05,53,BS6,b
2011-08,13,BS6,b
2011-11,30,BS6,b
2012-02,14.8,BS6,b
2012-05,22.3,BS6,b
2012-08,7.1,BS6,b
2012-11,8.1,BS6,b
2013-02,17.4,BS6,b
2013-05,1.4,BS6,b
2013-08,1.379,BS6,b
2013-11,3.759,BS6,b
2014-02,1.512,BS6,b
2014-05,6.664,BS6,b
2014-08,4.05,BS6,b
2014-11,3.09,BS6,b
