stn,region_name,sea,year,period,date,lat,lon,플라스틱류_N,종이_N,스티로폼_N,목재_N,금속_N,천연 섬유_N,유리_N,고무_N,의료 및 개인위생_N,흡연_불꽃놀이_N,외국기인_N,기타_혼합재질_N,계_N,플라스틱류_KG,종이_KG,스티로폼_KG,목재_KG,금속_KG,천연 섬유_KG,유리_KG,고무_KG,의료 및 개인위생_KG,흡연_불꽃놀이_KG,외국기인_KG,기타_혼합재질_KG,계_KG,플라스틱류_N,종이_N,스티로폼_N,목재_N,금속_N,천연 섬유_N,유리_N,고무_N,의료 및 개인위생_N,흡연_불꽃놀이_N,외국기인_N,기타_혼합재질_N,계_N,플라스틱류_KG,종이_KG,스티로폼_KG,목재_KG,금속_KG,천연 섬유_KG,유리_KG,고무_KG,의료 및 개인위생_KG,흡연_불꽃놀이_KG,외국기인_KG,기타_혼합재질_KG,계_KG
S01A,강화 여차리갯벌,서해,2016,6,16-Jun,37.61164,126.37594,1053,203,112,92,3,25,51,5,4,164,1,1,1703,24,3,3.6,36,1.3,1.2,10,7,1.2,2.1,1,1,80.4,3.02,2.31,2.05,1.96,0.48,1.4,1.71,0.7,0.6,2.21,0,0,3.23,1.38,0.48,0.56,1.56,0.11,0.08,1,0.85,0.08,0.32,0,0,1.91
S01A,강화 여차리갯벌,서해,2017,1,17-Jan,37.61164,126.37594,450,14,155,121,27,89,68,7,1,1,1,3,926,42.85,2.1,24.75,64,8.6,33.7,14.9,1.5,1,1,1,4.2,188.6,2.65,1.15,2.19,2.08,1.43,1.95,1.83,0.85,0,0,0,0.48,2.97,1.63,0.32,1.39,1.81,0.93,1.53,1.17,0.18,0,0,0,0.62,2.28
S01A,강화 여차리갯벌,서해,2017,2,17-Feb,37.61164,126.37594,327,1,130,1,27,42,118,4,1,5,4,7,656,18.4,1,5.91,1,3.55,3.2,10,1.7,1,1.6,1,2.3,39.66,2.51,0,2.11,0,1.43,1.62,2.07,0.6,0,0.7,0.6,0.85,2.82,1.26,0,0.77,0,0.55,0.51,1,0.23,0,0.2,0,0.36,1.6
S01A,강화 여차리갯벌,서해,2017,3,17-Mar,37.61164,126.37594,489,29,100,1,28,29,25,6,3,45,1,3,748,16.5,1.8,6.5,1,3.1,2.5,2.9,1.5,1.1,1.01,1,3.2,31.11,2.69,1.46,2,0,1.45,1.46,1.4,0.78,0.48,1.65,0,0.48,2.87,1.22,0.26,0.81,0,0.49,0.4,0.46,0.18,0.04,0,0,0.51,1.49
S01A,강화 여차리갯벌,서해,2017,4,17-Apr,37.61164,126.37594,487,1,71,1,38,24,821,1,2,1,1,1,1438,16,1,3.7,1,5.5,4.5,9,1,1.1,1,1,1,34.8,2.69,0,1.85,0,1.58,1.38,2.91,0,0.3,0,0,0,3.16,1.2,0,0.57,0,0.74,0.65,0.95,0,0.04,0,0,0,1.54
S01A,강화 여차리갯벌,서해,2017,5,17-May,37.61164,126.37594,476,123,303,50,30,42,243,12,1,7,16,1,1293,60.2,18.3,51.5,28,2.6,4.7,16,7.8,1,1.2,2.2,1,183.5,2.68,2.09,2.48,1.7,1.48,1.62,2.39,1.08,0,0.85,1.2,0,3.11,1.78,1.26,1.71,1.45,0.41,0.67,1.2,0.89,0,0.08,0.34,0,2.26
S01A,강화 여차리갯벌,서해,2017,6,17-Jun,37.61164,126.37594,330,12,126,109,47,28,71,17,3,125,6,9,872,10.6,1.6,5.4,22.4,3.4,4.1,4.7,2.4,1.1,1.3,1.2,3.7,50.9,2.52,1.08,2.1,2.04,1.67,1.45,1.85,1.23,0.48,2.1,0.78,0.95,2.94,1.03,0.2,0.73,1.35,0.53,0.61,0.67,0.38,0.04,0.11,0.08,0.57,1.71
S02A,안산 말부흥,서해,2008,2,08-Feb,37.20884,126.61472,142,9,84,27,1,7,48,2,1,5,2,6,323,5.2,1.1,1.1,5,1,1.8,2.3,1.001,1,1.01,1.005,2,12.516,2.15,0.95,1.92,1.43,0,0.85,1.68,0.3,0,0.7,0.3,0.78,2.51,0.72,0.04,0.04,0.7,0,0.26,0.36,0,0,0,0,0.3,1.1
S02A,안산 말부흥,서해,2008,3,08-Mar,37.20884,126.61472,155,7,127,47,16,11,69,3,1,7,1,4,437,3.25,1.01,1.82,3.5,1.4,1.2,5,1.01,1,1.02,1,1.04,11.25,2.19,0.85,2.1,1.67,1.2,1.04,1.84,0.48,0,0.85,0,0.6,2.64,0.51,0,0.26,0.54,0.15,0.08,0.7,0,0,0.01,0,0.02,1.05
S02A,안산 말부흥,서해,2008,4,08-Apr,37.20884,126.61472,111,7,117,34,16,12,56,5,1,5,1,1,355,2.75,1.01,2.06,20,1.03,1.02,4.5,1.02,1,1.01,1,1,26.4,2.05,0.85,2.07,1.53,1.2,1.08,1.75,0.7,0,0.7,0,0,2.55,0.44,0,0.31,1.3,0.01,0.01,0.65,0.01,0,0,0,0,1.42
